session_id,speaker_id,utterance,emo_indx,dailydialog_DA,swda,swda_indx,emo,prev_swda,next_swda,prev_emo,next_emo,prev_swda_indx,next_swda_indx,prev_emo_indx,next_emo_indx
7,A,"Excuse me , sir , I'm afraid you can't park your car here .",5,3,sd,0,sadness,Null,qw,Null,no emotion,-1,9,-1,0
7,B,Why not ?,0,2,qw,9,no emotion,sd,sd,sadness,no emotion,0,0,5,0
7,B,It's my parking space .,0,2,sd,0,no emotion,qw,sd,no emotion,no emotion,9,0,0,0
7,A,"I'm afraid not , sir .",0,1,sd,0,no emotion,sd,bh,no emotion,surprise,0,14,0,6
7,B,Oh ?,6,1,bh,14,surprise,sd,ba,no emotion,surprise,0,5,0,6
7,B,That's a surprise .,6,1,ba,5,surprise,bh,oo_co_cc,surprise,surprise,14,33,6,6
7,B,Let me see ... D 0411 Our dog's birthday .,6,1,oo_co_cc,33,surprise,ba,sv,surprise,surprise,5,2,6,6
7,B,"Yes , I'm sure this my parking space !",6,1,sv,2,surprise,oo_co_cc,sd,surprise,no emotion,33,0,6,0
7,A,But I saw a red car always parking here before .,0,1,sd,0,no emotion,sv,sd,surprise,no emotion,2,0,6,0
7,B,"Oh , we've just repainted our car .",0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
7,B,It was red .,0,1,sd,0,no emotion,sd,b,no emotion,no emotion,0,1,0,0
7,A,Maybe .,0,1,b,1,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
7,A,But the car of this space has a broken rearview mirror on the left .,0,1,sd,0,no emotion,b,b,no emotion,no emotion,1,1,0,0
7,B,Yeah .,0,1,b,1,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
7,B,It used to .,0,1,sd,0,no emotion,b,sd,no emotion,no emotion,1,0,0,0
7,B,We got that fixed yesterday too .,0,1,sd,0,no emotion,sd,ad,no emotion,no emotion,0,19,0,0
7,A,"Could you wait for a minute , sir ?",0,3,ad,19,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
7,A,I'd like to have a check .,0,3,sd,0,no emotion,ad,aa,no emotion,no emotion,19,4,0,0
7,B,"Sure , go ahead .",0,4,aa,4,no emotion,sd,fa,no emotion,sadness,0,39,0,5
7,A,"Sorry , sir , my mistake .",5,1,fa,39,sadness,aa,sd,no emotion,sadness,4,0,0,5
7,A,This is your parking space .,5,1,sd,0,sadness,fa,bd,sadness,no emotion,39,36,5,0
7,B,That's all right .,0,1,bd,36,no emotion,sd,sd,sadness,no emotion,0,0,5,0
7,B,It's not your fault .,0,1,sd,0,no emotion,bd,"fo_o_fw_""_by_bc",no emotion,no emotion,36,17,0,0
9,A,"Oh , well .",0,1,"fo_o_fw_""_by_bc",17,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
9,A,It was fun to be the winner .,0,1,sd,0,no emotion,"fo_o_fw_""_by_bc",sd,no emotion,no emotion,17,0,0,0
9,A,But ... it's too big .,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
9,A,I must be an extra small in the States .,0,1,sd,0,no emotion,sd,qo,no emotion,no emotion,0,22,0,0
9,B,So what about the tennis racket ?,0,3,qo,22,no emotion,sd,ad,no emotion,happiness,0,19,0,4
9,A,Look !,4,4,ad,19,happiness,qo,sd,no emotion,happiness,22,0,0,4
9,A,It's amazing .,4,4,sd,0,happiness,ad,sd,happiness,happiness,19,0,4,4
9,A,I can't wait to try it out !,4,4,sd,0,happiness,sd,qw,happiness,no emotion,0,9,4,0
9,B,How much did that end up costing you ?,0,2,qw,9,no emotion,sd,sd,happiness,no emotion,0,0,4,0
9,A,Oh ... around twenty bucks .,0,1,sd,0,no emotion,qw,sd,no emotion,no emotion,9,0,0,0
9,A,A bargain if you ask me .,0,1,sd,0,no emotion,sd,ad,no emotion,no emotion,0,19,0,0
9,A,Look at the picture of her playing with it !,0,1,ad,19,no emotion,sd,sd,no emotion,happiness,0,0,0,4
9,B,"Hey , two for one .",4,1,sd,0,happiness,ad,sd,no emotion,happiness,19,0,0,4
9,B,That's a super deal .,4,1,sd,0,happiness,sd,sd,happiness,happiness,0,0,4,4
9,A,And here's her signature !,4,1,sd,0,happiness,sd,qo,happiness,no emotion,0,22,4,0
32,A,"So , Casey , how are things going with the photos for the press kit ?",0,2,qo,22,no emotion,sd,^h,happiness,no emotion,0,24,4,0
32,B,"Yeah , I'Ve been meaning to talk to you about that .",0,3,^h,24,no emotion,qo,sd,no emotion,no emotion,22,0,0,0
32,B,I might need to ask for an extension on that deadline .,0,3,sd,0,no emotion,^h,sd,no emotion,anger,24,0,0,1
32,A,You'Ve had over a month to get this finalized !,1,2,sd,0,anger,sd,qw,no emotion,anger,0,9,0,1
32,A,Why are things delayed ?,1,2,qw,9,anger,sd,sd,anger,sadness,0,0,1,5
32,B,"Well , the thing is , we ran into a lot of problems ...",5,1,sd,0,sadness,qw,sd,anger,anger,9,0,1,1
32,A,I'm not looking for excuses here .,1,3,sd,0,anger,sd,sd,sadness,anger,0,0,5,1
32,A,I just want to get this finished on time !,1,3,sd,0,anger,sd,sd,anger,no emotion,0,0,1,0
32,B,"I know , and I apologize for the delay .",0,1,sd,0,no emotion,sd,sd,anger,no emotion,0,0,1,0
32,B,But some things were just beyond my control .,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
32,B,"I had trouble booking the photographer , and then Michael was sick for three weeks , so I couldn't include him in the photos , and the design team lost all the files , so I had to re-do the pictures .",0,1,sd,0,no emotion,sd,sd,no emotion,anger,0,0,0,1
32,A,"I'm not going to put this off any longer , Casey !",1,1,sd,0,anger,sd,sd,no emotion,anger,0,0,0,1
32,A,I want those photos ASAP !,1,1,sd,0,anger,sd,fp,anger,no emotion,0,29,1,0
40,A,Welcome to Al's Bakery .,0,2,fp,29,no emotion,sd,fp,anger,no emotion,0,29,1,0
40,A,What can I get you ?,0,2,fp,29,no emotion,fp,fp,no emotion,happiness,29,29,0,4
40,B,Hi !,4,3,fp,29,happiness,fp,oo_co_cc,no emotion,happiness,29,33,0,4
40,B,"Let me get a dozen croissants , four blueberry muffins and a loaf of sourdough bread .",4,3,oo_co_cc,33,happiness,fp,ba,happiness,happiness,29,5,4,4
40,A,Sure .,4,2,ba,5,happiness,oo_co_cc,qy,happiness,happiness,33,6,4,4
40,A,Would you like to have the loaf sliced ?,4,2,qy,6,happiness,ba,ar,happiness,no emotion,5,25,4,0
40,B,"No , that's OK .",0,2,ar,25,no emotion,qy,qy,happiness,no emotion,6,6,4,0
40,B,Do you have any whole wheat bread ?,0,2,qy,6,no emotion,ar,no,no emotion,no emotion,25,28,0,0
